name,team,passing_cmp,passing_att,passing_yds,passing_td,passing_int,passing_sk,passing_yds.1,passing_lng,passing_rate,rushing_att,rushing_yds,rushing_td,rushing_lng,receiving_tgt,receiving_rec,receiving_yds,receiving_td,receiving_lng,fumbles_fmb,fumbles_fl,stat_type,game_url,game_date,def_interceptions_int,def_interceptions_yds,def_interceptions_td,def_interceptions_lng,def_interceptions_pd,def_sacks,tackles_comb,tackles_solo,tackles_ast,tackles_tfl,tackles_qbhits,fumbles_fr,fumbles_yds,fumbles_td,fumbles_ff
Lamar Jackson,BAL,26,41,273,1,0,1,6,49,90.8,16,122,0,16,0,0,0,0,0,1,1,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Derrick Henry,BAL,0,0,0,0,0,0,0,0,,13,46,1,9,2,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Zay Flowers,BAL,0,0,0,0,0,0,0,0,,2,14,0,8,10,6,37,0,19,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Justice Hill,BAL,0,0,0,0,0,0,0,0,,1,3,0,3,8,6,52,0,18,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Isaiah Likely,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,111,1,49,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Rashod Bateman,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,53,0,38,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,11,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Nelson Agholor,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Patrick Mahomes,KAN,20,28,291,1,1,2,10,35,101.9,2,3,0,4,1,1,2,0,2,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Isiah Pacheco,KAN,0,0,0,0,0,0,0,0,,15,45,1,5,3,2,33,0,23,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Xavier Worthy,KAN,0,0,0,0,0,0,0,0,,1,21,1,21,3,2,47,1,35,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Carson Steele,KAN,0,0,0,0,0,0,0,0,,2,3,0,5,0,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Rashee Rice,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,103,0,33,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Noah Gray,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,37,0,13,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,34,0,23,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Justin Watson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,25,0,25,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Samaje Perine,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
JuJu Smith-Schuster,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,,,,,,,,,,,,,,,
Roquan Smith,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,1,0,0,0,1,0.0,7,4,3,1,0,0,0,0,0
David Ojabo,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Trenton Simpson,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,1,0.5,5,2,3,0,2,0,0,0,0
Nnamdi Madubuike,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.5,2,0,2,0,2,0,0,0,0
Marcus Williams,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
Odafe Oweh,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,4,3,1,0,1,0,0,0,0
Michael Pierce,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Brandon Stephens,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Kyle Hamilton,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Malik Harrison,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Marlon Humphrey,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Eddie Jackson,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Travis Jones,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Nate Wiggins,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Jalyn Armour-Davis,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Chris Board,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Ka'dar Hollman,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Josh Ross,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kyle Van Noy,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Broderick Washington Jr.,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Ar'Darius Washington,BAL,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0
Chris Jones,KAN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,1.0,3,1,2,1,0,0,0,0,1
Jaylen Watson,KAN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,1,0.0,11,7,4,0,0,0,0,0,0
Justin Reid,KAN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,9,8,1,0,0,0,0,0,0
Nick Bolton,KAN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,1,0.0,7,3,4,0,0,0,0,0,0
Leo Chenal,KAN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,2,0.0,7,3,4,1,0,0,0,0,0
Chamarri Conner,KAN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,6,6,0,0,0,0,0,0,0
Bryan Cook,KAN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Michael Danna,KAN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Trent McDuffie,KAN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Drue Tranquill,KAN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Tershawn Wharton,KAN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
George Karlaftis III,KAN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
Mike Pennel,KAN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Felix Anudike-Uzomah,KAN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,1,1,0,1,0,1,0,0,0
Nazeeh Johnson,KAN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Joshua Williams,KAN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409050kan.htm,2024-09-05,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jordan Love,GNB,17,34,260,2,1,1,5,70,83.0,0,0,0,0,0,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
Malik Willis,GNB,0,1,0,0,0,1,4,0,39.6,0,0,0,0,0,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
Josh Jacobs,GNB,0,0,0,0,0,0,0,0,,16,84,0,32,3,2,20,0,11,1,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
Emanuel Wilson,GNB,0,0,0,0,0,0,0,0,,4,46,0,18,3,2,2,0,2,0,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
Jayden Reed,GNB,0,0,0,0,0,0,0,0,,1,33,1,33,6,4,138,1,70,0,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
Romeo Doubs,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,50,0,19,0,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
Tucker Kraft,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,37,0,29,0,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
Christian Watson,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,13,1,6,0,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
Dontayvion Wicks,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
Luke Musgrave,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
Jalen Hurts,PHI,20,34,278,2,2,2,12,67,80.3,13,33,0,8,0,0,0,0,0,2,1,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
Saquon Barkley,PHI,0,0,0,0,0,0,0,0,,24,109,2,34,2,2,23,1,18,0,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,10,0,10,0,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
A.J. Brown,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,119,1,67,0,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,84,0,25,0,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,31,0,21,0,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
Grant Calcaterra,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
Jahan Dotson,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
Johnny Wilson,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,,,,,,,,,,,,,,,
Jaire Alexander,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,1,17,0,17,2,0.0,4,4,0,0,0,0,0,0,0
Xavier McKinney,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,1,17,0,17,1,0.0,4,3,1,0,0,0,0,0,0
Keisean Nixon,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,1,1.0,7,6,1,2,2,0,0,0,0
Rashan Gary,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,1,1.0,3,1,2,1,2,0,0,0,0
Javon Bullard,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,11,7,4,0,0,0,0,0,0
Quay Walker,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,11,7,4,1,0,0,0,0,0
Isaiah McDuffie,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,6,3,3,0,1,0,0,0,0
Tedarrell Slaton,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0
Karl Brooks,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Edgerrin Cooper,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
Eric Wilson,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,4,3,1,2,0,0,0,0,0
Kenny Clark,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Preston Smith,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Eric Stokes,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Lukas Van Ness,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Zayne Anderson,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Devonte Wyatt,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,1,1,0,1,0,1,0,0,0
Bo Melton,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Reed Blankenship,PHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,1,1,0,1,1,0.0,8,4,4,0,0,0,0,0,0
Zack Baun,PHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,2.0,15,11,4,1,2,0,0,0,0
C.J. Gardner-Johnson,PHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Quinyon Mitchell,PHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,2,0.0,5,4,1,0,0,0,0,0,0
Nakobe Dean,PHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,1,0.0,4,4,0,2,0,0,0,0,0
Jalen Carter,PHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,3,0,3,0,1,0,0,0,0
Avonte Maddox,PHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Darius Slay,PHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,1
Nolan Smith,PHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Thomas Booker,PHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Brandon Graham,PHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Bryce Huff,PHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Will Shipley,PHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Josh Sweat,PHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,1,1,0,1,1,0,0,0,0
Milton Williams,PHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Saquon Barkley,PHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Moro Ojomo,PHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409060phi.htm,2024-09-06,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Justin Fields,PIT,17,23,156,0,0,2,23,40,91.9,14,57,0,12,0,0,0,0,0,1,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
Najee Harris,PIT,0,0,0,0,0,0,0,0,,20,70,0,20,2,1,9,0,9,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
Cordarrelle Patterson,PIT,0,0,0,0,0,0,0,0,,4,13,0,5,0,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
Jaylen Warren,PIT,0,0,0,0,0,0,0,0,,2,7,0,8,2,2,13,0,9,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
Pat Freiermuth,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,27,0,10,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
MyCole Pruitt,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,9,0,9,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
Calvin Austin III,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
Darnell Washington,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
Van Jefferson,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,1,0,1,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
George Pickens,PIT,0,0,0,0,0,0,0,0,,1,-10,0,-10,7,6,85,0,40,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
Kirk Cousins,ATL,16,26,155,1,2,2,18,20,59.0,1,0,0,0,0,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
Bijan Robinson,ATL,0,0,0,0,0,0,0,0,,18,68,0,13,5,5,43,0,14,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
Tyler Allgeier,ATL,0,0,0,0,0,0,0,0,,3,21,0,13,0,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
Ray-Ray McCloud,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,52,0,20,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,26,1,12,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
Darnell Mooney,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,15,0,15,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
Drake London,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,15,0,8,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
Charlie Woerner,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0,offense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,,,,,,,,,,,,,,,
DeShon Elliott,PIT,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,1,0,0,0,2,0.0,4,1,3,0,0,0,0,0,0
Donte Jackson,PIT,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,1,49,0,49,2,0.0,2,1,1,0,0,0,0,0,0
T.J. Watt,PIT,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,0,0,0,0,0,1.0,4,2,2,2,3,1,0,0,0
Montravius Adams,PIT,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
Minkah Fitzpatrick,PIT,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202409080atl.htm,2024-09-08,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
