name,team,passing_cmp,passing_att,passing_yds,passing_td,passing_int,passing_sk,passing_yds.1,passing_lng,passing_rate,rushing_att,rushing_yds,rushing_td,rushing_lng,receiving_tgt,receiving_rec,receiving_yds,receiving_td,receiving_lng,fumbles_fmb,fumbles_fl,stat_type,game_url,game_date,def_interceptions_int,def_interceptions_yds,def_interceptions_td,def_interceptions_lng,def_interceptions_pd,def_sacks,tackles_comb,tackles_solo,tackles_ast,tackles_tfl,tackles_qbhits,fumbles_fr,fumbles_yds,fumbles_td,fumbles_ff,position
BJ Ojulari,ARI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,
Zach Pascal,ARI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,
Cameron Thomas,ARI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,1,0.0,1,0,1,0,0,1,2,1,0,
Josh Woods,ARI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0,
Joshua Dobbs,ARI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,
Montez Sweat,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,1.5,5,4,1,2,1,0,0,0,2,
Jonathan Allen,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,1.0,4,3,1,2,3,0,0,0,0,
Abdullah Anderson,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,0.5,2,1,1,1,1,1,0,0,0,
Kamren Curl,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,1,0.0,10,6,4,1,0,0,0,0,0,
Jamin Davis,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,0.0,6,4,2,1,0,0,0,0,0,
Kendall Fuller,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0,
Cody Barton,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0,
Darrick Forrest,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0,
Benjamin St-Juste,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,
Percy Butler,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0,
Emmanuel Forbes,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,1,0.0,3,3,0,1,0,0,0,0,0,
Jeremy Reaves,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,
James Smith-Williams,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,0.0,3,1,2,0,1,0,0,0,0,
Casey Toohill,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0,
Daron Payne,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,0.0,2,2,0,2,0,1,0,0,0,
Dyami Brown,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,
Christian Holmes,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,
David Mayo,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,
John Ridgeway,WAS,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100was.htm,2023-09-10,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,
Jordan Love,GNB,15,27,245,3,0,1,8,51,123.2,3,12,0,9,0,0,0,0,0,1,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Aaron Jones,GNB,0,0,0,0,0,0,0,0,,9,41,1,9,4,2,86,1,51,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Patrick Taylor,GNB,0,0,0,0,0,0,0,0,,5,22,0,10,0,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
AJ Dillon,GNB,0,0,0,0,0,0,0,0,,13,19,0,7,3,2,17,0,12,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Luke Musgrave,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,50,0,37,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Romeo Doubs,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,26,2,13,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Samori Toure,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,16,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Dontayvion Wicks,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Malik Heath,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Sean Clifford,GNB,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Jayden Reed,GNB,0,0,0,0,0,0,0,0,,1,-2,0,-2,5,2,48,0,30,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Justin Fields,CHI,24,37,216,1,1,4,27,23,78.2,9,59,0,10,0,0,0,0,0,1,1,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Khalil Herbert,CHI,0,0,0,0,0,0,0,0,,9,27,0,12,5,3,37,0,19,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Roschon Johnson,CHI,0,0,0,0,0,0,0,0,,5,20,1,11,7,6,35,0,8,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
D'Onta Foreman,CHI,0,0,0,0,0,0,0,0,,5,16,0,11,3,2,8,0,5,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Darnell Mooney,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,53,1,23,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Cole Kmet,CHI,0,0,0,0,0,0,0,0,,1,0,0,0,7,5,44,0,15,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
D.J. Moore,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,25,0,14,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Tyler Scott,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,9,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Chase Claypool,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Khari Blasingame,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,,,,,,,,,,,,,,,,
Quay Walker,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,1,37,1,37,1,0.0,4,1,3,1,0,0,0,0,0,
Devonte Wyatt,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,1.5,3,2,1,2,2,0,0,0,0,
Lukas Van Ness,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0,
Karl Brooks,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0,
Kenny Clark,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.5,2,0,2,0,2,0,0,0,1,
Darnell Savage Jr.,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,9,5,4,1,0,0,0,0,0,
Rasul Douglas,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,1,0.0,8,6,2,0,0,1,0,0,0,
Keisean Nixon,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,8,7,1,1,0,0,0,0,0,
De'Vondre Campbell,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0,
Preston Smith,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0,
Rudy Ford,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0,
Isaiah McDuffie,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,
Jaire Alexander,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0,
Jonathan Owens,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,
Eric Wilson,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0,
Innis Gaines,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,
Justin Hollins,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,
Carrington Valentine,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0,
Josiah Deguara,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,
Kingsley Enagbare,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0,
Dallin Leavitt,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,
Tedarrell Slaton,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0,
Colby Wooden,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,
Sean Clifford,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,0,0,0,0,0,1,-1,0,0,
Rashan Gary,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,
Jordan Love,GNB,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,
Yannick Ngakoue,CHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,1.0,4,3,1,2,1,0,0,0,0,
T.J. Edwards,CHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,14,6,8,0,0,0,0,0,0,
Tremaine Edmunds,CHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,8,7,1,2,0,0,0,0,0,
Jaquan Brisker,CHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,1,0.0,7,3,4,0,0,0,0,0,0,
Tyrique Stevenson,CHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0,
Eddie Jackson,CHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,2,0.0,4,2,2,0,0,0,0,0,0,
Jack Sanborn,CHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,
Jaylon Johnson,CHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0,
Andrew Billings,CHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0,
Josh Blackwell,CHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,
DeMarcus Walker,CHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,2,2,0,1,1,0,0,0,0,
DeMarquis Gates,CHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,
Kyler Gordon,CHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0,
Rasheem Green,CHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,
Travis Homer,CHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,
Dominique Robinson,CHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,
Robert Tonyan,CHI,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100chi.htm,2023-09-10,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,
Jimmy Garoppolo,LVR,20,26,200,2,1,0,0,21,107.9,9,11,0,8,0,0,0,0,0,1,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Josh Jacobs,LVR,0,0,0,0,0,0,0,0,,19,48,0,7,3,2,23,0,19,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Zamir White,LVR,0,0,0,0,0,0,0,0,,1,2,0,2,1,1,5,0,5,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Jakobi Meyers,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,10,9,81,2,21,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Davante Adams,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,66,0,18,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Austin Hooper,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,0,20,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
DeAndre Carter,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Ameer Abdullah,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Russell Wilson,DEN,27,34,177,2,0,2,11,21,108.0,1,1,0,1,0,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Javonte Williams,DEN,0,0,0,0,0,0,0,0,,13,52,0,11,6,4,5,0,7,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Samaje Perine,DEN,0,0,0,0,0,0,0,0,,8,41,0,12,4,4,37,0,20,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Adam Trautman,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,34,0,15,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Courtland Sutton,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,32,1,15,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Brandon Johnson,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,31,0,21,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Greg Dulcich,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,13,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Lil'Jordan Humphrey,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,1,6,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Marvin Mims,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,5,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Michael Burton,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Phillip Dorsett,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Jaleel McLaughlin,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-7,0,-7,0,0,offense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,,,,,,,,,,,,,,,,
Maxx Crosby,LVR,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,1.0,5,2,3,1,2,0,0,0,0,
Jerry Tillery,LVR,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,1.0,3,1,2,1,1,0,0,0,0,
Nate Hobbs,LVR,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,12,8,4,2,1,0,0,0,0,
Divine Deablo,LVR,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,1,0.0,9,5,4,1,0,0,0,0,0,
Jakorian Bennett,LVR,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,7,7,0,0,0,0,0,0,0,
Robert Spillane,LVR,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,7,4,3,1,0,0,0,0,0,
Tre'von Moehrig,LVR,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0,
Marcus Epps,LVR,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,5,2,3,1,0,0,0,0,0,
Marcus Peters,LVR,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0,
Luke Masterson,LVR,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,
Brandon Bolden,LVR,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,
Jesper Horsted,LVR,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,
Bilal Nichols,LVR,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,
Roderic Teamer,LVR,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,
Tyree Wilson,LVR,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0,
Jimmy Garoppolo,LVR,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,
Kareem Jackson,DEN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,1,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0,
Alex Singleton,DEN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,1,0.0,8,4,4,0,1,0,0,0,0,
Josey Jewell,DEN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,6,1,5,0,0,0,0,0,0,
Zach Allen,DEN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,5,2,3,1,1,0,0,0,0,
Damarri Mathis,DEN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0,
Jonathan Harris,DEN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0,
Justin Simmons,DEN,,,,,,,,,,,,,,,,,,,,,defense,https://www.pro-football-reference.com/boxscores/202309100den.htm,2023-09-10,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0,
